<<<<<<< HEAD:RawBiogasReg_Pig_Bag.csv
Pig Manure (t),Bagasse feed (t),Raw Biogas Produced (m3),,,Pig 
0,12,3463,,,
3.54,21,4516,,,
2.69,18,4104,,,
3.07,22.6,5343,,,
2.98,26.1,5667,,,
2.26,16.8,4565,,,
3.54,21.5,4631,,,
10.5,2,4122,,,
10.3,1,3064,,,
3.37,1,3645,,,
3.44,3.8,1796,,,
3.36,0,2992,,,
9.52,0,2505,,,
0,1,1701,,,
0,0,3836,,,
0,0,4006,,,
0,0,3117,,,
6.54,0,2678,,,
0,11.2,4608,,,
0,4.9,4004,,,
0,10.5,4224,,,
0,17.5,4478,,,
0,4.9,3339,,,
0,0,3998,,,
0,0,2912,,,
0,0,2491,,,
0,0,2300,,,
0,0,1984,,,
0,0,1865,,,
0,10.5,1611,,,
0,12,1854,,,
0,0,1169,,,
0,0,1530,,,
0,0,1169,,,
0,0,1735,,,
5.6,0,1620,,,
6.02,0,2520,,,
0,0,2537,,,
0,3,1117,,,
0,15,0,,,
2.78,24.8,2297,,,
5.98,31,2505,,,
2.86,15,2949,,,
0,16,605,,,
0,15,994,,,
12.38,10,2204,,,
6.32,25,3271,,,
6.5,25,3699,,,
10.72,25,3682,,,
3.04,25,3845,,,
6.74,25,3652,,,
6.14,25,3276,,,
2.94,25,4021,,,
3.16,25,4078,,,
6.66,24,4665,,,
9.32,25,4716,,,
0,12,1138,,,
4.24,20,3715,,,
0,30,4522,,,
8.2,30,4973,,,
10.75,30,5083,,,
9.52,30,5540,,,
10.32,30,5455,,,
2.96,22,5609,,,
3.18,14,5751,,,
4.08,23,5777,,,
3.44,30,6570,,,
9.3,30,5854,,,
10.3,25,6027,,,
0,19,6101,,,
3.22,30,6213,,,
3.1,25,5726,,,
4.96,20,5048,,,
11.3,20,5253,,,
3.08,11,4492,,,
6.52,27,4188,,,
3.12,33,4361,,,
2.96,25,3978,,,
3.14,20,5447,,,
6.98,26,5861,,,
0,16,4437,,,
4.44,40,5116,,,
3.14,34,5397,,,
8.2,35,4555,,,
3.1,31,5155,,,
11.54,35,6231,,,
6.32,26,5967,,,
12.3,36,6306,,,
18.38,36.8,7686,,,
13.48,36.8,6987,,,
6.54,38,5834,,,
9.3,35,6021,,,
10.8,19.78,6405,,,
4.6,22.7,5821,,,
7.58,37,6016,,,
7.74,24,4224,,,
14,38,6433,,,
9.5,36,3860,,,
8.6,33.6,8184,,,
8.82,40,7018,,,
3.14,22.64,6893,,,
3.26,16.5,9121,,,
8.5,8.2,10130,,,
7.58,0,8529,,,
17.42,8,8933,,,
6.2,8.8,8978,,,
6.26,22,8175,,,
6.84,21,8604,,,
9.76,20,7745,,,
10.82,22,9245,,,
8.14,21,9357,,,
8.84,22,10043,,,
11.1,20,4776,,,
3.1,21,8688,,,
9.16,20,9743,,,
9.64,22,9700,,,
4.96,21,10053,,,
10.36,20,9468,,,
0,21,9334,,,
9.74,17.6,9163,,,
11.6,4,9694,,,
6.32,3,7832,,,
8.42,9.7,11012,,,
8.88,12.3,9853,,,
9.26,11.4,9136,,,
12.74,17.6,9105,,,
3.28,4.4,9220,,,
7.38,11.4,10835,,,
5.12,9.7,11518,,,
7.88,7.9,10740,,,
4.4,8.8,9350,,,
6.56,15,11559,,,
4.46,10,9673,,,
0,8,10084,,,
7.18,8,10554,,,
11.08,7,8039,,,
0,0,0,,,
9.44,5.8,8520,,,
3.12,12,9525,,,
14,5,9594,,,
9.86,10,10937,,,
14.22,8.4,10102,,,
9.98,15,10533,,,
17.4,13.2,10283,,,
7.3,0,11183,,,
10.18,7,8913,,,
12.1,28.37,7856,,,
6.48,33.4,7444,,,
18.22,21,7054,,,
0,8,5486,,,
19.76,30,6975,,,
22.36,22,6794,,,
8.28,30,7096,,,
2.78,0,4847,,,
0,0,3874,,,
0,0,3448,,,
0,0,3691,,,
0,0,2715,,,
0,18,3024,,,
9.4,20,4174,,,
4.4,32,4343,,,
13.44,30,5129,,,
4.86,26,4921,,,
15.82,25,5241,,,
0,0,0,,,
0,30,5565,,,
10.5,39,6695,,,
14.24,23,6555,,,
0,0,4988,,,
14.76,28,5885,,,
5.88,30,6664,,,
7.92,32,5627,,,
5.64,23,6048,,,
16.54,23,6017,,,
7.56,27,6538,,,
14.88,26,6213,,,
6.9,21,6040,,,
3.96,30,5994,,,
12.52,28,6573,,,
5.26,38.4,6601,,,
6.14,29,7089,,,
15.68,19,5040,,,
3.74,25,7977,,,
6.64,26,7526,,,
14.98,16,5965,,,
0.9,17,6035,,,
10.22,25,6696,,,
7.22,29,6234,,,
15.78,21,6573,,,
10.42,29,6090,,,
10.44,25,6993,,,
12.64,24.77,7050,,,
6.24,26,8649,,,
13.9,24.2,6475,,,
8.02,26,8124,,,
18.74,27,8885,,,
13.4,29,7686,,,
13.72,23,7751,,,
5.2,22,9385,,,
5.54,26,6900,,,
7.3,28,7001,,,
0,25,6341,,,
9.16,25.1,6245,,,
6.08,20,6298,,,
13.26,25,8043,,,
6.1,30.6,8575,,,
17.96,22.8,8125,,,
0,31,6614,,,
21.14,21.3,7063,,,
4.36,29,9197,,,
10.66,31,8819,,,
12.56,36,6870,,,
4.18,33.3,6951,,,
17.92,12.15,6015,,,
12.12,27.48,6907,,,
0,22.29,7585,,,
0,26,6851,,,
10.66,25,5890,,,
0,7.3,5660,,,
0,17.01,3569,,,
18.96,15.38,7683,,,
19,13.7,11364,,,
11,27.82,7047,,,
5.34,29,7536,,,
10.4,11.3,8030,,,
7.84,13.77,5551,,,
0,25.08,6402,,,
15.98,38.05,7032,,,
6.16,32,6936,,,
11.8,28,9601,,,
11.98,34.1,7765,,,
4.84,13.81,7621,,,
8.74,12.16,6046,,,
14.94,14.67,7579,,,
0,60,7816,,,
10.8,61,8903,,,
18.88,84,13602,,,
15.26,13.77,6544,,,
13.92,29.16,15508,,,
19.68,48.63,14730,,,
11.14,39,15011,,,
13.2,34.84,12960,,,
8.64,54.14,1252,,,
12.08,85.05,12225,,,
11.38,82,13759,,,
12.14,75.68,14361,,,
11.02,80,16524,,,
14.24,81,16777,,,
3,23.49,15693,,,
2.9,46.98,19351,,,
14.46,81,15649,,,
9.84,81,13572,,,
5.96,56.26,11921,,,
4.78,41.6,9010,,,
14.04,40,8345,,,
6.42,40,10165,,,
10.18,40,9157,,,
5.36,40,6336,,,
12.78,40,6752,,,
5.32,40,7743,,,
10.48,40,9700,,,
9.96,40,8967,,,
3.12,40,8446,,,
6.1,20,8958,,,
6.12,18,8596,,,
10.66,22.68,9639,,,
9.84,29.16,9283,,,
0,20.38,8397,,,
15.2,13,7771,,,
10.3,0,6685,,,
0,0,3826,,,
9.2,2.5,4019,,,
10.68,21.87,5871,,,
5.74,25.11,5749,,,
11.48,25.17,6390,,,
13.5,25.17,6893,,,
0,25,6343,,,
10.08,25,6036,,,
5.74,17,5676,,,
4.98,21,5904,,,
10.26,25,5943,,,
12.06,12,6413,,,
20.38,13.76,5829,,,
0,17,5529,,,
0,16.2,5169,,,
0,10,7040,,,
5.3,8.1,7050,,,
0,2.5,6924,,,
12.28,14.58,8894,,,
0,8.8,9790,,,
18.48,12.96,8642,,,
10.4,7.36,1054,,,
7.94,19.66,9507,,,
5.3,7,9896,,,
6.18,0,9356,,,
9.66,1,7860,,,
10.52,15.39,8235,,,
5.94,8.91,9611,,,
4.6,5,7250,,,
15.44,9,8395,,,
9.58,17.48,4642,,,
10.36,28,7273,,,
4.52,25,7444,,,
6.88,23.49,1099,,,
11.44,13.77,11830,,,
8.02,7.29,12364,,,
0,7,12056,,,
9.62,12,9239,,,
10.2,16.2,7515.846154,,,
10.64,2.43,8410,,,
6.08,8.1,11234,,,
8.9,26.7,7200,,,
8.9,8.1,7399,,,
11.5,9.6,7474,,,
10.28,10.4,7501,,,
5.7,12,7088,,,
7.86,6.4,7154,,,
11.74,15,5705,,,
7.12,6.4,5940,,,
9.78,9.6,5421,,,
5.42,9.6,5375,,,
14.54,16.1,5264,,,
13.62,9,5025,,,
10.76,15.2,5680,,,
12.02,10.53,4409,,,
5,6.4,3940,,,
5.32,4.8,4544,,,
9.54,7.2,4144,,,
8.12,0,3885,,,
5.58,0,4174,,,
6.4,0,4442,,,
0,0,3718,,,
5.72,0,2370,,,
14.42,0,2168,,,
5.86,0,3520,,,
12.86,0,3018,,,
9.3,0,2218,,,
11.26,0,3109,,,
5.92,0,4365,,,
9.86,0,4278,,,
0,0,6394,,,
5.98,0,7291,,,
0,0,2216,,,
11.44,25,4074,,,
9.78,25,4089,,,
4.28,25,3531,,,
5.6,25,3546,,,
6.56,25,4367,,,
10.3,22.68,4012,,,
5.52,25,3616,,,
0,30.8,4792,,,
12.16,39.82,3032,,,
11.96,6.8,4657,,,
0,0,3279,,,
10.76,0,3505,,,
11.9,0,3366,,,
0,0,2898,,,
17.1,0,3168,,,
0,0,2736,,,
6,0,2249,,,
10.26,0,3206,,,
6,0,1810,,,
10.46,0,2938,,,
0,0,1976,,,
6.04,0,2368,,,
12.18,0,2672,,,
16.32,0,1869,,,
11.04,0,3111,,,
6.12,0,1240,,,
11.24,0,3027,,,
0,0,2750,,,
6.2,0,2154,,,
15.56,0,1769,,,
5.96,0,2441,,,
6.24,0,2361,,,
0,0,2165,,,
10.74,0,1744,,,
6.1,0,1923,,,
16.84,0,2178,,,
0,0,1283,,,
10.7,0,2024,,,
11.12,0,1733,,,
0,0,1804,,,
11.14,0,1552,,,
6.7,0,2322,,,
12.44,0,2329,,,
0,0,1783,,,
17.48,0,2490,,,
9.62,0,1942,,,
4.58,0,2793,,,
11.96,0,2474,,,
10.12,0,2391,,,
11.54,0,4158,,,
12.84,0,3168,,,
0,0,2848,,,
18.82,0,2841,,,
12.52,0,2585,,,
9.3,0,2437,,,
17.4,0,2738,,,
5.32,0,2960,,,
5.28,0,0,,,
0,0,2139,,,
10.58,3.2,2023,,,
21.7,5.4,2724,,,
11.36,3.6,2756,,,
11.56,4,2425,,,
12.5,1.3,3213,,,
5.96,6.3,2550,,,
16.18,6.4,1339,,,
0,4,2360,,,
0,4,1718,,,
9.64,14.48,2623,,,
12.2,19.4,2545,,,
7.68,29.6,3558,,,
6.72,10.4,2803,,,
17.56,30.8,5555,,,
6.52,26.92,5755,,,
6.34,1.6,5032,,,
10.34,1.39,3201,,,
6.3,0,5910,,,
12.24,0,5624,,,
14.68,0,4448,,,
7.3,0,3361,,,
17.48,0,2591,,,
4.18,0,2691,,,
6.38,0,2478,,,
11.72,0,2687,,,
9.28,0,2674,,,
0,0,1177,,,
5.92,0,9,,,
9.18,0,2232,,,
17.32,0,2847,,,
14.04,0,2880,,,
22.2,0,2954,,,
20.84,0,2949,,,
16.88,0,2836,,,
9.9,0,3277,,,
10.22,0,2980,,,
18.14,0,4139,,,
11.22,0,3468,,,
6,0,3890,,,
14.38,0,3724,,,
11.58,0,4309,,,
17.66,0,5724,,,
10.52,0,5820,,,
6.96,0,5755,,,
19.12,0,6946,,,
23.66,0,7038,,,
22.24,0,7407,,,
24.57,0,8281,,,
12.02,0,7925,,,
16.26,0,7761,,,
22.88,0,9509,,,
10.36,0,8379,,,
22.22,0,8468,,,
18.02,0,8262,,,
17.12,0,7065,,,
19.3,0,6805,,,
0,0,184,,,
0,0,0,,,
30.06,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
4.82,0,4222,,,
11.06,0,1927,,,
0,0,0,,,
2.88,0,3472,,,
16.98,0,9785,,,
6.24,0,11239,,,
15.84,0,9894,,,
16.4,0,10103,,,
11.6,0,8020,,,
16.22,8.8,13950,,,
56.78,2.25,16458,,,
45.86,3.75,15900,,,
32.02,0.95,10482,,,
23.52,0.75,12811,,,
12.04,1.95,14075,,,
7.02,0.37,9317,,,
22.28,1.75,15495,,,
5.5,0.75,17592,,,
18.94,3.75,19831,,,
6.52,1.57,20409,,,
15.3,2.25,23126,,,
16.72,4,17993,,,
0,0,15497,,,
0,0,10923,,,
0,0,15908,,,
23.78,3.75,21569,,,
18.86,7.5,22332,,,
7.12,0.75,16874,,,
10.7,21.21,12175,,,
11.08,4.4,17761,,,
14.3,1.5,18347,,,
17.48,3.75,12472,,,
19.66,3.75,20185,,,
3.92,1.5,18342,,,
22.94,3,19414,,,
6.66,0.5,12585,,,
19.66,2.25,8136,,,
17.22,2.25,7486,,,
17.74,2.6,10581,,,
21.72,2.25,7752,,,
14.54,2.25,8008,,,
17.6,2.25,4210,,,
0,0,3236,,,
0,0,3219,,,
0,0,1682,,,
0,0,2084,,,
4.38,0.75,3703,,,
24.7,3.75,6506,,,
16.64,2.25,4754,,,
5.82,0.75,6989,,,
21.02,2.25,11402,,,
16.7,2.25,7575,,,
0,0,1803,,,
26.06,2.25,9680,,,
5.88,0.75,9071,,,
16.42,2.25,7386,,,
11.84,2.25,12655,,,
9.44,1.5,7809,,,
0,0,5256,,,
12.14,1.5,17520,,,
7.18,0.75,17210,,,
10.28,1.5,13519,,,
20.08,2.25,10183,,,
21.28,2.25,15960,,,
18.58,2.25,12585,,,
11.7,1.5,17075,,,
0,1.5,18437,,,
12,1.5,14236,,,
19.22,13.5,12139,,,
5.98,1.5,15863,,,
0,0,15391,,,
25.8,3.75,14555,,,
14.72,2.25,16412,,,
11.22,1.5,17791,,,
5.24,0.75,14695,,,
11.46,2.25,18935,,,
19.6,3,20136,,,
5.94,1.5,16085,,,
0,0,17403,,,
8.22,1,12349,,,
6.32,1,12812,,,
33.72,34.56,14182,,,
12.44,44.95,9764,,,
0,34.75,6837,,,
0,16.35,5651,,,
20.28,46.5,8368,,,
38.46,59.41,11651,,,
12.08,57.04,8797,,,
12.18,29.78,9625,,,
14.74,34.18,10663,,,
4.3,34.75,12932,,,
19.54,9.36,14208,,,
6.8,6.96,12361,,,
0,0,7807,,,
14,1,6426,,,
31.8,29.66,9661,,,
12.84,34.24,8330,,,
11.46,30,8310,,,
16.4,27,7949,,,
4.92,28.6,8009,,,
16.94,45.94,8952,,,
11.58,49.14,10171,,,
18.1,46.88,9496,,,
9.56,49.9,12940,,,
7.5,48.74,10157,,,
5.8,49.36,10061,,,
6.32,25.26,9696,,,
12.2,25.18,8724,,,
6.64,25.48,8555,,,
4.94,10.19,9382,,,
10,11.64,5538,,,
9.7,3.06,5812,,,
16.2,5.78,6491,,,
18.76,6.4,7515,,,
4.52,20.12,6030,,,
11.82,42.22,8828,,,
6.38,22.96,7405,,,
5.44,30.48,6907,,,
9.56,29.68,8105,,,
23.08,36.78,8634,,,
10.07,46.47,8913,,,
4.76,45.14,9901,,,
5.28,41.11,9915,,,
8.32,46.14,8286,,,
5.88,47.08,10211,,,
12.86,41.69,9864,,,
7.32,44.27,9825,,,
4.04,41.35,12126,,,
0,0,8698,,,
29.52,8.24,6667,,,
11.28,29.08,7976,,,
0,47.35,8267,,,
11.4,24.64,7555,,,
5.9,32.24,8154,,,
6,34.37,7268,,,
16.18,39.74,7579,,,
7.88,26.91,9132,,,
0,10.65,9138,,,
11.64,50.8,10593,,,
0,37.72,10896,,,
16.68,37.18,10506,,,
0,0,6553,,,
12.52,11.08,6532,,,
24.8,12.15,9085,,,
4.02,8.74,7018,,,
0,0,6099,,,
0,0,4532,,,
0,0,2797,,,
15.48,5.97,4958,,,
37.52,4.86,4332,,,
10.2,21.16,9253,,,
18.82,19.38,10819,,,
0,0,6472,,,
12.52,11.94,5190,,,
11.6,14.14,5466,,,
5.76,5.58,4705,,,
14.88,23.04,5436,,,
0,0,7100,,,
17.48,6.14,5880,,,
6.4,12.36,3775,,,
11.44,20.12,4743,,,
12.78,11.22,5081,,,
12.08,15.52,5272,,,
0,0,4247,,,
0,11.01,3617,,,
0,23.87,3900,,,
26.18,16.11,4929,,,
9.48,14.48,4915,,,
16.78,11.04,4701,,,
6.42,13.28,5767,,,
10.76,7.25,4483,,,
0,14.34,3741,,,
5.6,20.13,5060,,,
12.52,9.44,5052,,,
11.22,20.04,5208,,,
12.42,25.18,6075,,,
12.76,16.68,6342,,,
0,18.5,5494,,,
6.12,3.06,5420,,,
13.26,18.1,5556,,,
17.08,20.48,6040,,,
16.04,23.11,8087,,,
0,8.8,5932,,,
7.5,6.22,4683,,,
24.92,16.02,5120,,,
6.04,9.94,5234,,,
10.22,7,6981,,,
0,0,7140,,,
18.66,12.46,6273,,,
18.36,5.2,6462,,,
6.04,0,6509,,,
5.48,0,3902,,,
12.56,4.18,4971,,,
6.48,4.3,4213,,,
6.26,4.44,869,,,
0,0,0,,,
0,0,0,,,
0,0,765,,,
6.26,3.68,3476,,,
32.74,0,3657,,,
31.1,0,5163,,,
25.6,23.32,6830,,,
0,27.18,6311,,,
11.42,22.08,8413,,,
10.84,16.6,6606,,,
6.28,15.05,5274,,,
12.2,14.76,3344,,,
6.06,20.7,5062,,,
11.82,11.84,3891,,,
0,30.72,2876,,,
5.66,32.58,4250,,,
6.96,10.26,6446,,,
6.06,5.3,5344,,,
11.68,6.98,5400,,,
12.38,6.32,3944,,,
12.12,6.12,4083,,,
14.96,6.72,4058,,,
0,0,3290,,,
4.7,1.8,3976,,,
10.8,10.56,4283,,,
12.78,0,3983,,,
11.26,0,5392,,,
5.26,5.2,5148,,,
16.68,0,5367,,,
11.42,11.38,7323,,,
18.46,13.24,5943,,,
15.54,6.18,4665,,,
5.7,5.62,4470,,,
16.6,6.94,4230,,,
10.82,3.5,4349,,,
17.88,3,4900,,,
12.96,3,4794,,,
6.08,0,4611,,,
0,0,2065,,,
12.08,0,4729,,,
0,0,0,,,
20.36,3,6280,,,
22.02,3,4480,,,
19.5,3,4083,,,
4,18.9,2688,,,
24.7,4.5,4466,,,
18.12,4.5,4838,,,
19.6,4.5,4849,,,
21.04,3,5428,,,
18.96,4,4576,,,
13.8,3,4479,,,
18.82,3,4708,,,
18.54,3,3637,,,
15.88,4.5,4098,,,
18.62,0,4324,,,
6.08,0,4471,,,
18.06,0,2195,,,
10.58,0,3103,,,
14.3,0,3425,,,
16.3,0,3389,,,
11.32,0,3668,,,
18.96,2.4,3073,,,
19.6,5,4271,,,
18.52,3,3450,,,
9.92,5,4774,,,
0,0,3214,,,
12.62,3,3280,,,
36.24,10,3155,,,
0,0,2678,,,
19.8,6,3788,,,
6.48,2,3416,,,
27.88,6,4165,,,
14.24,6,4192,,,
24.58,10,3823,,,
20.26,6,4888,,,
12.56,6,4354,,,
0,0,3472,,,
22.12,2,4872,,,
18.84,6,5338,,,
21.02,0,4639,,,
21.04,6,5376,,,
18.88,5,4704,,,
18.92,5,5109,,,
14.54,5,4553,,,
16.7,5,3853,,,
0,0,3236,,,
18.68,3,2979,,,
19.7,0,3954,,,
12.34,0,3736,,,
12.66,0,3691,,,
19.8,0,3220,,,
19.3,0,3660,,,
19.52,0,3720,,,
14.72,0,4050,,,
0,0,3638,,,
0,0,3196,,,
19.14,0,4227,,,
12.86,10,3986,,,
12.92,9.96,2292,,,
13.04,0,2771,,,
14.02,0,1119,,,
0,0,0,,,
27.2,0,3258,,,
7.3,0,2186,,,
14.36,0,1575,,,
5.72,0,2473,,,
28,0,3136,,,
20,0,3113,,,
25.16,0,1864,,,
45.82,0,5374,,,
4.48,0,4834,,,
0,0,2946,,,
21.12,0,3508,,,
19.94,0,2689,,,
34.34,0,4371,,,
18.64,0,3668,,,
18.64,0,4002,,,
13.9,0,3577,,,
26.14,0,3473,,,
12.32,0,3470,,,
18.94,0,3356,,,
16.94,0,2750,,,
23.84,0,4479,,,
17.98,0,3643,,,
13.14,0,2829,,,
24.86,0,3827,,,
26.74,0,4729,,,
25.44,0,3961,,,
18.44,0,5322,,,
24.74,0,4614,,,
6.9,0,3984,,,
41.6,0,5269,,,
17.22,0,4241,,,
5.8,0,3287,,,
31.64,0,5872,,,
19.62,0,5397,,,
0,0,2218,,,
0,0,0,,,
0,0,0,,,
14.52,0,1501,,,
33.56,0,2663,,,
10.88,0,8918,,,
25.14,0,8090,,,
34.2,0,7550,,,
26.74,0,8605,,,
33.9,0,12,,,
26.3,0,13,,,
27.2,0,8901,,,
20.58,0,7644,,,
34.01,0,8190,,,
29.5,0,9445,,,
23.76,0,9206,,,
29.97,0,10193,,,
33.66,0,10265,,,
19.14,0,11647,,,
26.38,0,10884,,,
39,0,13835,,,
28.16,0,11056,,,
29.88,0,12338,,,
27.28,0,14538,,,
26.2,0,3618,,,
6.36,0,7537,,,
29.06,0,13224,,,
45.94,0,18816,,,
21.5,0,12358,,,
21.54,0,12054,,,
31.3,0,12934,,,
24.4,0,12804,,,
32.2,0,18018,,,
14.4,0,16506,,,
17.68,0,14121,,,
25.32,0,12756,,,
32.76,0,13829,,,
22.7,0,13230,,,
31.66,0,16875,,,
19.62,0,15378,,,
0,0,13186,,,
31.66,14,14760,,,
31.94,0,10615,,,
26.22,0,7939,,,
24.22,10,6790,,,
27.04,17,15839,,,
18.9,7,17399,,,
19.68,13,15608,,,
0,0,13891,,,
25.76,18,15877,,,
33.22,20,23619,,,
24.18,10,19276,,,
39.06,15,18591,,,
20.82,25,19635,,,
27.08,18,19618,,,
19.06,47.6,20342,,,
32.76,81,19505,,,
26.64,74,14282,,,
45.8,49,13116,,,
40.82,26,14410,,,
27.7,54.4,14689,,,
26.14,18,5406,,,
0,0,0,,,
0,0,750,,,
97,15,12020,,,
27.48,12,11358,,,
0,0,8677,,,
0,0,6620,,,
0,0,7840,,,
0,0,6616,,,
27.74,5,8207,,,
26.5,20,11025,,,
25.72,20,10745,,,
26.72,18,9808,,,
27.66,29.6,10916,,,
19.68,5,11259,,,
40.24,20,13843,,,
19.2,25,11813,,,
26.16,35.4,11200,,,
29.7,27.6,14732,,,
32.34,28.2,16839,,,
19.44,29.4,15014,,,
20.58,20.4,11491,,,
26.96,22,13625,,,
27.24,20,14275,,,
0.9,15.6,14546,,,
26.92,12.4,20366,,,
42.76,4,20518,,,
33.02,0,16909,,,
27.96,15.75,16666,,,
27.88,0,16817,,,
21.08,0,19373,,,
6.38,12,11544,,,
38.62,18,12957,,,
18.4,21.6,16054,,,
35.02,16.2,15031,,,
31.86,20.25,13345,,,
28.96,18.45,14516,,,
42.78,13.5,16609,,,
33.66,19.8,16172,,,
36.18,2.7,15431,,,
26.32,15.3,15916,,,
33.02,15.3,20425,,,
23.98,15.3,18884,,,
27.92,5.4,8511,,,
34.36,10.35,17532,,,
12.04,10.35,17380,,,
31.8,10.35,16806,,,
27.12,10.35,15567,,,
29.36,10.35,14204,,,
27.44,10.35,17742,,,
35.74,10.35,18305,,,
12.24,10.35,20524,,,
22.7,0,18032,,,
19.7,0,7183,,,
40.2,0,17273,,,
20.2,0,15781,,,
26.2,0,19434,,,
27,0,18570,,,
26.74,0,18189,,,
13.04,0,16515,,,
25.46,0,17714,,,
14.18,0,15376,,,
26.64,0,13588,,,
20.66,0,17142,,,
19.84,0,15078,,,
36.24,0,14421,,,
38.3,0,14975,,,
20.3,0,13396,,,
20.96,0,14688,,,
25.54,0,14155,,,
27.72,0,16227,,,
34.98,0,13113,,,
23.32,0,9867,,,
21.34,0,11588,,,
19.64,0,14660,,,
33.38,0,18424,,,
21.14,0,15617,,,
36.04,0,11826,,,
17.28,0,11143,,,
25.9,0,15250,,,
26.58,0,12511,,,
20.46,0,14986,,,
33.56,0,7191,,,
14.42,0,8389,,,
27.26,0,15977,,,
25.22,0,12225,,,
25.3,0,11126,,,
28.44,0,13940,,,
18.56,0,13095,,,
13.86,0,8827,,,
33.08,0,13607,,,
29.7,0,16164,,,
20.09,0,14794,,,
28.38,0,13004,,,
19.78,0,14304,,,
26.74,0,13531,,,
25.92,0,15307,,,
26.74,0,13392,,,
35.3,0,10997,,,
13.12,0,15665,,,
24.74,0,13013,,,
0,0,13149,,,
37.62,0,14168,,,
19.84,0,18702,,,
26.3,0,14513,,,
23.04,0,6512,,,
28.56,0,15630,,,
32,0,15106,,,
12.66,0,14208,,,
